source_dataset,source_category,source_site_id,province_code,province_name,city,site_name,site_type,latitude,longitude,area_sqm,former_use,contamination_level,soil_suitability,transit_distance_m,infrastructure_readiness,activity_status,viability_score,estimated_units,estimated_remediation_cad,recommended_form,contamination_group_count,contamination_groups,contamination_types,contamination_record_count,est_cost_min_cad_per_tonne,est_cost_max_cad_per_tonne,est_cost_avg_mid_cad_per_tonne
fcsi_sites_filtered,brownfield,BC|Vancouver|555 - Squamish - 00009 - KITSILANO NO. 6 - 0901112102|49.273892|-123.143086,BC,British Columbia,Vancouver,555 - Squamish - 00009 - KITSILANO NO. 6 - 0901112102,brownfield,49.273892,-123.143086,,,,,,,,,,,,2,Unknown | Oil/Petroleum (PHCs),"Metal, metalloid, and organometallic | PAHs (polycyclic aromatic hydrocarbon) | BTEXs (benzene, toluene, ethylbenzene, and xylene) | PCBs (Polychlorinated Biphenyl) and PCDD/Fs (polychlorinated dibenzo-p-dioxin/dibenzofuran) | PHCs (petroleum hydrocarbons)",7,180,280,300
fcsi_sites_filtered,brownfield,BC|Vancouver|Bessborough Armoury|49.262500|-123.151000,BC,British Columbia,Vancouver,Bessborough Armoury,brownfield,49.2625,-123.151,,,,,,,,,,,,2,Industrial Acids/Solvents | Unknown,"Halogenated Hydrocarbon | Metal, metalloid, and organometallic",2,450,900,745
fcsi_sites_filtered,brownfield,BC|Vancouver|Fairmont Complex|49.239470|-123.122000,BC,British Columbia,Vancouver,Fairmont Complex,brownfield,49.23947,-123.122,,,,,,,,,,,,2,Unknown | Oil/Petroleum (PHCs),"Metal, metalloid, and organometallic | PAHs (polycyclic aromatic hydrocarbon) | PHCs (petroleum hydrocarbons)",3,180,280,300
fcsi_sites_filtered,brownfield,BC|Vancouver|Former POL Storage Site at HMCS Discovery|49.296900|-123.123000,BC,British Columbia,Vancouver,Former POL Storage Site at HMCS Discovery,brownfield,49.2969,-123.123,,,,,,,,,,,,2,Oil/Petroleum (PHCs) | Unknown,"BTEXs (benzene, toluene, ethylbenzene, and xylene) | Metal, metalloid, and organometallic | PAHs (polycyclic aromatic hydrocarbon) | PHCs (petroleum hydrocarbons)",4,180,280,300
fcsi_sites_filtered,brownfield,BC|Vancouver|Harry Stevens Office Building|49.262260|-123.102240,BC,British Columbia,Vancouver,Harry Stevens Office Building,brownfield,49.26226,-123.10224,,,,,,,,,,,,1,Oil/Petroleum (PHCs),PAHs (polycyclic aromatic hydrocarbon) | PHCs (petroleum hydrocarbons),2,180,280,300
fcsi_sites_filtered,brownfield,BC|Vancouver|Jericho Beach|49.267100|-123.191000,BC,British Columbia,Vancouver,Jericho Beach,brownfield,49.2671,-123.191,,,,,,,,,,,,1,Oil/Petroleum (PHCs),PHCs (petroleum hydrocarbons),1,180,280,300
fcsi_sites_filtered,brownfield,BC|Vancouver|Kitsilano Coast Guard Station|49.276252|-123.138445,BC,British Columbia,Vancouver,Kitsilano Coast Guard Station,brownfield,49.276252,-123.138445,,,,,,,,,,,,2,Unknown | Oil/Petroleum (PHCs),"Metal, metalloid, and organometallic | PAHs (polycyclic aromatic hydrocarbon)",2,180,280,300
fcsi_sites_filtered,brownfield,BC|Vancouver|Seaforth Armoury|49.271100|-123.144000,BC,British Columbia,Vancouver,Seaforth Armoury,brownfield,49.2711,-123.144,,,,,,,,,,,,1,Unknown,"Metal, metalloid, and organometallic",1,,,
fcsi_sites_filtered,brownfield,BC|Vancouver|Standards Building|49.265167|-123.026964,BC,British Columbia,Vancouver,Standards Building,brownfield,49.265167,-123.026964,,,,,,,,,,,,1,Oil/Petroleum (PHCs),PAHs (polycyclic aromatic hydrocarbon) | PHCs (petroleum hydrocarbons),4,180,280,300
fcsi_sites_filtered,brownfield,BC|Vancouver|VANCOUVER (FALSE CREEK)|49.272828|-123.138939,BC,British Columbia,Vancouver,VANCOUVER (FALSE CREEK),brownfield,49.272828,-123.138939,,,,,,,,,,,,1,Unknown,"Metal, metalloid, and organometallic",2,,,
fcsi_sites_filtered,brownfield,BC|Vancouver|Vanier Park|49.276368|-123.142586,BC,British Columbia,Vancouver,Vanier Park,brownfield,49.276368,-123.142586,,,,,,,,,,,,2,Oil/Petroleum (PHCs) | Unknown,"BTEXs (benzene, toluene, ethylbenzene, and xylene) | Metal, metalloid, and organometallic | PAHs (polycyclic aromatic hydrocarbon) | PHCs (petroleum hydrocarbons)",12,180,280,300
fcsi_sites_filtered,brownfield,BC|Vancouver|Workshop NE Corner of Building 21 at HMCS Discovery|49.296900|-123.123000,BC,British Columbia,Vancouver,Workshop NE Corner of Building 21 at HMCS Discovery,brownfield,49.2969,-123.123,,,,,,,,,,,,2,Unknown | Oil/Petroleum (PHCs),"Metal, metalloid, and organometallic | PAHs (polycyclic aromatic hydrocarbon)",2,180,280,300
fcsi_sites_filtered,brownfield,ON|Ottawa|100 Bayview Road|45.407955|-75.725951,ON,Ontario,Ottawa,100 Bayview Road,brownfield,45.407955,-75.725951,,,,,,,,,,,,1,Oil/Petroleum (PHCs),PAHs (polycyclic aromatic hydrocarbon),1,180,280,234.6
fcsi_sites_filtered,brownfield,ON|Ottawa|150 Middle Street|45.419895|-75.714145,ON,Ontario,Ottawa,150 Middle Street,brownfield,45.419895,-75.714145,,,,,,,,,,,,2,Unknown | Oil/Petroleum (PHCs),"Metal, metalloid, and organometallic | Energetics | PAHs (polycyclic aromatic hydrocarbon) | PHCs (petroleum hydrocarbons)",5,180,280,234.6
fcsi_sites_filtered,brownfield,"ON|Ottawa|1501 St. Joseph, Ottawa|45.460512|-75.563249",ON,Ontario,Ottawa,"1501 St. Joseph, Ottawa",brownfield,45.460512,-75.563249,,,,,,,,,,,,1,Oil/Petroleum (PHCs),"BTEXs (benzene, toluene, ethylbenzene, and xylene) | PAHs (polycyclic aromatic hydrocarbon) | PHCs (petroleum hydrocarbons)",4,180,280,234.6
fcsi_sites_filtered,brownfield,ON|Ottawa|156 Middle Street|45.419899|-75.714421,ON,Ontario,Ottawa,156 Middle Street,brownfield,45.419899,-75.714421,,,,,,,,,,,,2,Unknown | Oil/Petroleum (PHCs),"Metal, metalloid, and organometallic | PAHs (polycyclic aromatic hydrocarbon) | PHCs (petroleum hydrocarbons)",4,180,280,234.6
fcsi_sites_filtered,brownfield,ON|Ottawa|160 Middle Street|45.419112|-75.715639,ON,Ontario,Ottawa,160 Middle Street,brownfield,45.419112,-75.715639,,,,,,,,,,,,2,Unknown | Oil/Petroleum (PHCs),"Metal, metalloid, and organometallic | PAHs (polycyclic aromatic hydrocarbon) | PHCs (petroleum hydrocarbons)",4,180,280,234.6
fcsi_sites_filtered,brownfield,ON|Ottawa|160 Middle Street|45.419711|-75.714739,ON,Ontario,Ottawa,160 Middle Street,brownfield,45.419711,-75.714739,,,,,,,,,,,,2,Unknown | Oil/Petroleum (PHCs),"Metal, metalloid, and organometallic | PAHs (polycyclic aromatic hydrocarbon) | PHCs (petroleum hydrocarbons)",4,180,280,234.6
fcsi_sites_filtered,brownfield,ON|Ottawa|161 Middle Street|45.419577|-75.715977,ON,Ontario,Ottawa,161 Middle Street,brownfield,45.419577,-75.715977,,,,,,,,,,,,2,Unknown | Oil/Petroleum (PHCs),"Metal, metalloid, and organometallic | PAHs (polycyclic aromatic hydrocarbon) | PHCs (petroleum hydrocarbons)",4,180,280,234.6
fcsi_sites_filtered,brownfield,ON|Ottawa|1645 Woodroffe|45.328627|-75.746669,ON,Ontario,Ottawa,1645 Woodroffe,brownfield,45.328627,-75.746669,,,,,,,,,,,,1,Oil/Petroleum (PHCs),"BTEXs (benzene, toluene, ethylbenzene, and xylene) | PHCs (petroleum hydrocarbons)",3,180,280,234.6
fcsi_sites_filtered,brownfield,ON|Ottawa|191 Colonel By Drive|45.421265|-75.685347,ON,Ontario,Ottawa,191 Colonel By Drive,brownfield,45.421265,-75.685347,,,,,,,,,,,,2,Oil/Petroleum (PHCs) | Unknown,"BTEXs (benzene, toluene, ethylbenzene, and xylene) | Metal, metalloid, and organometallic | PHCs (petroleum hydrocarbons)",3,180,280,234.6
