province_code,province_name,city,site_name,latitude,longitude,medium,contamination_type,contamination_group,site_count,cost_min_cad_per_tonne,cost_max_cad_per_tonne,cost_mid_cad_per_tonne,city_adjusted_mid_cad_per_tonne
BC,British Columbia,Vancouver,555 - Squamish - 00009 - KITSILANO NO. 6 - 0901112102,49.273892,-123.143086,Groundwater,"Metal, metalloid, and organometallic",Unknown,1,,,,
BC,British Columbia,Vancouver,555 - Squamish - 00009 - KITSILANO NO. 6 - 0901112102,49.273892,-123.143086,Groundwater,PAHs (polycyclic aromatic hydrocarbon),Oil/Petroleum (PHCs),1,180,280,230,300
BC,British Columbia,Vancouver,555 - Squamish - 00009 - KITSILANO NO. 6 - 0901112102,49.273892,-123.143086,Soil,"BTEXs (benzene, toluene, ethylbenzene, and xylene)",Oil/Petroleum (PHCs),1,180,280,230,300
BC,British Columbia,Vancouver,555 - Squamish - 00009 - KITSILANO NO. 6 - 0901112102,49.273892,-123.143086,Soil,"Metal, metalloid, and organometallic",Unknown,1,,,,
BC,British Columbia,Vancouver,555 - Squamish - 00009 - KITSILANO NO. 6 - 0901112102,49.273892,-123.143086,Soil,PAHs (polycyclic aromatic hydrocarbon),Oil/Petroleum (PHCs),1,180,280,230,300
BC,British Columbia,Vancouver,555 - Squamish - 00009 - KITSILANO NO. 6 - 0901112102,49.273892,-123.143086,Soil,PCBs (Polychlorinated Biphenyl) and PCDD/Fs (polychlorinated dibenzo-p-dioxin/dibenzofuran),Unknown,1,,,,
BC,British Columbia,Vancouver,555 - Squamish - 00009 - KITSILANO NO. 6 - 0901112102,49.273892,-123.143086,Soil,PHCs (petroleum hydrocarbons),Oil/Petroleum (PHCs),1,180,280,230,300
BC,British Columbia,Vancouver,Bessborough Armoury,49.262500,-123.151000,Soil,Halogenated Hydrocarbon,Industrial Acids/Solvents,1,450,900,675,745
BC,British Columbia,Vancouver,Bessborough Armoury,49.262500,-123.151000,Soil,"Metal, metalloid, and organometallic",Unknown,1,,,,
BC,British Columbia,Vancouver,Fairmont Complex,49.239470,-123.122000,Soil,"Metal, metalloid, and organometallic",Unknown,1,,,,
BC,British Columbia,Vancouver,Fairmont Complex,49.239470,-123.122000,Soil,PAHs (polycyclic aromatic hydrocarbon),Oil/Petroleum (PHCs),1,180,280,230,300
BC,British Columbia,Vancouver,Fairmont Complex,49.239470,-123.122000,Soil,PHCs (petroleum hydrocarbons),Oil/Petroleum (PHCs),1,180,280,230,300
BC,British Columbia,Vancouver,Former POL Storage Site at HMCS Discovery,49.296900,-123.123000,Soil,"BTEXs (benzene, toluene, ethylbenzene, and xylene)",Oil/Petroleum (PHCs),1,180,280,230,300
BC,British Columbia,Vancouver,Former POL Storage Site at HMCS Discovery,49.296900,-123.123000,Soil,"Metal, metalloid, and organometallic",Unknown,1,,,,
BC,British Columbia,Vancouver,Former POL Storage Site at HMCS Discovery,49.296900,-123.123000,Soil,PAHs (polycyclic aromatic hydrocarbon),Oil/Petroleum (PHCs),1,180,280,230,300
BC,British Columbia,Vancouver,Former POL Storage Site at HMCS Discovery,49.296900,-123.123000,Soil,PHCs (petroleum hydrocarbons),Oil/Petroleum (PHCs),1,180,280,230,300
BC,British Columbia,Vancouver,Harry Stevens Office Building,49.262260,-123.102240,Soil,PAHs (polycyclic aromatic hydrocarbon),Oil/Petroleum (PHCs),1,180,280,230,300
BC,British Columbia,Vancouver,Harry Stevens Office Building,49.262260,-123.102240,Soil,PHCs (petroleum hydrocarbons),Oil/Petroleum (PHCs),1,180,280,230,300
