province_code,city,site_name,latitude,longitude,sand_score,clay_score,drainage_score,organic_score,score_formula,final_percentage
BC,Vancouver,555 - Squamish - 00009 - KITSILANO NO. 6 - 0901112102,49.273892,-123.143086,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
BC,Vancouver,Bessborough Armoury,49.262500,-123.151000,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
BC,Vancouver,Fairmont Complex,49.239470,-123.122000,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
BC,Vancouver,Former POL Storage Site at HMCS Discovery,49.296900,-123.123000,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
BC,Vancouver,Harry Stevens Office Building,49.262260,-123.102240,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
BC,Vancouver,Jericho Beach,49.267100,-123.191000,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
BC,Vancouver,Kitsilano Coast Guard Station,49.276252,-123.138445,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
BC,Vancouver,Seaforth Armoury,49.271100,-123.144000,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
BC,Vancouver,Standards Building,49.265167,-123.026964,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
BC,Vancouver,VANCOUVER (FALSE CREEK),49.272828,-123.138939,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
BC,Vancouver,Vanier Park,49.276368,-123.142586,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
BC,Vancouver,Workshop NE Corner of Building 21 at HMCS Discovery,49.296900,-123.123000,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
ON,Toronto,Arthur Meighen Building,43.688074,-79.391774,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
ON,Toronto,Auto Hobby Club Former DeHavilland Plant Area (Downsview),Unknown,Unknown,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
ON,Toronto,Building 100 (Downsview),Unknown,Unknown,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
ON,Toronto,Building 103 (Downsview),Unknown,Unknown,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
ON,Toronto,CFRC (Yonge Street),43.763300,-79.411900,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
ON,Toronto,CN Tower (301 Front Street),43.642600,-79.387100,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
ON,Toronto,Canadian Forces Staff College,43.742800,-79.413100,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
ON,Toronto,Central Heating Plant (Downsview),Unknown,Unknown,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
ON,Toronto,Construction Engineering Section (Downsview),Unknown,Unknown,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
ON,Toronto,Denison Armoury,Unknown,Unknown,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
ON,Toronto,Don River at York Mills,43.740250,-79.403139,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
ON,Toronto,Downsview Closure,Unknown,Unknown,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
ON,Toronto,Etobicoke Armoury,43.604200,-79.501900,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
ON,Toronto,Fire Fighting Training Area (Downsview),Unknown,Unknown,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
ON,Toronto,Former Building 115 (Downsview),Unknown,Unknown,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
ON,Toronto,Former Bunker 'C' DeHavilland Plant Area (Downsview),Unknown,Unknown,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
ON,Toronto,Former No.1 Canadian Forces Supply Depot (Downsview),Unknown,Unknown,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
ON,Toronto,Former POL Compound Building 107 (Downsview),Unknown,Unknown,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
ON,Toronto,Former Sewage Treatment Plant (Downsview),Unknown,Unknown,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
ON,Toronto,Former USTs Building 107 (Downsview),Unknown,Unknown,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
ON,Toronto,Former building 102 (Downsview),Unknown,Unknown,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
ON,Toronto,Former building 131 (Downsview),Unknown,Unknown,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
ON,Toronto,Fort York //,43.636900,-79.407800,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
ON,Toronto,Gravel Parking Lot Construction Eng. Section (Downsview),Unknown,Unknown,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
ON,Toronto,HMCS York,43.633900,-79.401900,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
ON,Toronto,Health Canada Laboratory,43.776653,-79.272697,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
ON,Toronto,Little Rouge Creek at Scarborough,43.813889,-79.156944,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
ON,Toronto,Moss Park Armoury,43.654700,-79.373100,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
ON,Toronto,Passmore,43.832900,-79.238300,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
ON,Toronto,Plant 1 Former DeHavilland Plant Area (Downsview),Unknown,Unknown,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
ON,Toronto,Plant 2 Former DeHavilland Plant Area (Downsview),Unknown,Unknown,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
ON,Toronto,Plant 3 Former DeHavilland Plant Area (Downsview),Unknown,Unknown,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
ON,Toronto,Portland Slip,43.635800,-79.395500,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
ON,Toronto,RCSU Warehouse,43.781512,-79.492002,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
ON,Toronto,Rouge River at Scarborough,43.811111,-79.159722,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
ON,Toronto,Scarborough Armoury,43.787200,-79.242500,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
ON,Toronto,Spadina Quay Marina,43.636100,-79.393400,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
ON,Toronto,Spadina Slip,43.637300,-79.391500,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
