province_code,province_name,city,site_name,site_id,site_type,latitude,longitude,area_sqm,former_use,contamination_level,soil_suitability,transit_distance_m,infrastructure_readiness,activity_status,viability_score,estimated_units,estimated_remediation_cad,recommended_form
ON,Ontario,Brampton,Andy Bathgate Golf Driving Range,brampton-osm-parking-lot-32266179,parking_lot,43.618420255,-79.63638743,74759,golf course repurpose,low,73,942,88,likely_active,29,1570,6728310,mixed-use
ON,Ontario,Brampton,Banty's Roost Golf & Country Club,brampton-osm-parking-lot-94347807,parking_lot,43.7843432392857,-79.8058230821429,669886,golf course repurpose,low,73,2309,88,likely_active,29,14068,60289740,mixed-use
ON,Ontario,Brampton,Bramalea City Centre,brampton-osm-dead-mall-33191811,dead_mall,43.7155371518519,-79.7225113462963,76368,retail complex,medium,65,218,80,likely_active,28,1732,19092000,mixed-use
ON,Ontario,Brampton,Bramalea City Centre 5 Level Parkade,brampton-osm-parking-lot-52302583,parking_lot,43.71490876,-79.72440022,7882,surface parking,medium,73,221,88,likely_active,14,149,1970500,low-rise
ON,Ontario,Brampton,Bramalea GO South Lot,brampton-osm-parking-lot-194213813,parking_lot,43.700001521875,-79.693055,18197,surface parking,medium,73,176,88,likely_active,20,344,4549250,mid-rise
ON,Ontario,Brampton,Brampton Parking Lot 1585,brampton-osm-parking-lot-28715138,parking_lot,43.6200668,-79.6482687,1200,surface parking,medium,73,45,88,likely_active,16,23,300000,low-rise
ON,Ontario,Brampton,Brampton Parking Lot 1586,brampton-osm-parking-lot-28948241,parking_lot,43.7454097888889,-79.8319039888889,1855,surface parking,medium,73,907,88,likely_active,4,35,463750,low-rise
ON,Ontario,Brampton,Brampton Parking Lot 1587,brampton-osm-parking-lot-28968968,parking_lot,43.74369069,-79.83387305,1439,surface parking,medium,73,777,88,likely_active,4,27,359750,low-rise
ON,Ontario,Brampton,Brampton Parking Lot 1588,brampton-osm-parking-lot-28969031,parking_lot,43.7431005904762,-79.8387821523809,6601,surface parking,medium,73,958,88,likely_active,6,125,1650250,low-rise
ON,Ontario,Brampton,Brampton Parking Lot 1590,brampton-osm-parking-lot-32322317,parking_lot,43.6211861166667,-79.6716955,1200,surface parking,medium,73,31,88,likely_active,16,23,300000,low-rise
ON,Ontario,Brampton,Brampton Parking Lot 1591,brampton-osm-parking-lot-32322322,parking_lot,43.6203639125,-79.6706214625,7621,surface parking,medium,73,108,88,likely_active,18,144,1905250,low-rise
ON,Ontario,Brampton,Brampton Parking Lot 1592,brampton-osm-parking-lot-32322325,parking_lot,43.62040234,-79.66929398,1200,surface parking,medium,73,9,88,likely_active,16,23,300000,low-rise
ON,Ontario,Brampton,Brampton Parking Lot 1593,brampton-osm-parking-lot-32322334,parking_lot,43.62146825,-79.6687415,9027,surface parking,medium,73,92,88,likely_active,19,171,2256750,mid-rise
ON,Ontario,Brampton,Brampton Parking Lot 1594,brampton-osm-parking-lot-32322380,parking_lot,43.6221601666667,-79.6698629555555,5820,surface parking,medium,73,208,88,likely_active,13,110,1455000,low-rise
ON,Ontario,Brampton,Brampton Parking Lot 1595,brampton-osm-parking-lot-32944029,parking_lot,43.73664906,-79.63637502,1200,surface parking,medium,73,103,88,likely_active,16,23,300000,low-rise
ON,Ontario,Brampton,Brampton Parking Lot 1596,brampton-osm-parking-lot-33137839,parking_lot,43.6264704666667,-79.6855026916667,11900,surface parking,medium,73,376,88,likely_active,13,225,2975000,mid-rise
ON,Ontario,Brampton,Brampton Parking Lot 1599,brampton-osm-parking-lot-33194362,parking_lot,43.7029922333333,-79.6917980166667,9353,surface parking,medium,73,100,88,likely_active,19,177,2338250,mid-rise
ON,Ontario,Brampton,Brampton Parking Lot 1600,brampton-osm-parking-lot-33194363,parking_lot,43.7021035,-79.6919169357143,2312,surface parking,medium,73,64,88,likely_active,16,44,578000,low-rise
ON,Ontario,Brampton,Brampton Parking Lot 1602,brampton-osm-parking-lot-33293895,parking_lot,43.68591558,-79.76167892,1403,surface parking,medium,73,19,88,likely_active,16,27,350750,low-rise
ON,Ontario,Brampton,Brampton Parking Lot 1606,brampton-osm-parking-lot-33295572,parking_lot,43.68280278,-79.77905652,1665,surface parking,medium,73,30,88,likely_active,16,31,416250,low-rise
ON,Ontario,Brampton,Brampton Parking Lot 1608,brampton-osm-parking-lot-33299966,parking_lot,43.6835789,-79.77312356,1200,surface parking,medium,73,290,88,likely_active,12,23,300000,low-rise
ON,Ontario,Brampton,Brampton Parking Lot 1609,brampton-osm-parking-lot-33300012,parking_lot,43.6796961857143,-79.7677790285714,3361,surface parking,medium,73,59,88,likely_active,16,64,840250,low-rise
ON,Ontario,Brampton,Brampton Parking Lot 1611,brampton-osm-parking-lot-34749542,parking_lot,43.6989014,-79.6336201142857,4655,surface parking,medium,73,150,88,likely_active,16,88,1163750,low-rise
ON,Ontario,Brampton,Brampton Parking Lot 1612,brampton-osm-parking-lot-34857682,parking_lot,43.7372069714286,-79.7918175857143,19037,surface parking,medium,73,691,88,likely_active,13,360,4759250,mid-rise
ON,Ontario,Brampton,Brampton Parking Lot 1613,brampton-osm-parking-lot-34857694,parking_lot,43.74268286,-79.79206466,6679,surface parking,medium,73,894,88,likely_active,6,126,1669750,low-rise
ON,Ontario,Brampton,Brampton Parking Lot 1616,brampton-osm-parking-lot-52013460,parking_lot,43.74406926,-79.74670268,3169,surface parking,medium,73,150,88,likely_active,16,60,792250,low-rise
ON,Ontario,Brampton,Brampton Parking Lot 1617,brampton-osm-parking-lot-52013467,parking_lot,43.7448797777778,-79.7479128,2855,surface parking,medium,73,260,88,likely_active,12,54,713750,low-rise
ON,Ontario,Brampton,Brampton Parking Lot 1618,brampton-osm-parking-lot-52013468,parking_lot,43.7448008666667,-79.7466243777778,3149,surface parking,medium,73,161,88,likely_active,12,60,787250,low-rise
ON,Ontario,Brampton,Brampton Parking Lot 1621,brampton-osm-parking-lot-56017977,parking_lot,43.6777124222222,-79.7600495555556,3628,surface parking,medium,73,116,88,likely_active,16,69,907000,low-rise
ON,Ontario,Brampton,Brampton Parking Lot 1622,brampton-osm-parking-lot-56017981,parking_lot,43.6783141285714,-79.7592105142857,4126,surface parking,medium,73,176,88,likely_active,12,78,1031500,low-rise
ON,Ontario,Brampton,Brampton Parking Lot 1623,brampton-osm-parking-lot-56017982,parking_lot,43.67830188,-79.76104047,2586,surface parking,medium,73,35,88,likely_active,16,49,646500,low-rise
ON,Ontario,Brampton,Brampton Parking Lot 1624,brampton-osm-parking-lot-57744578,parking_lot,43.6858378333333,-79.75110052,3542,surface parking,medium,73,264,88,likely_active,12,67,885500,low-rise
ON,Ontario,Brampton,Brampton Parking Lot 1625,brampton-osm-parking-lot-57744708,parking_lot,43.6836353921053,-79.7518836131579,5507,surface parking,medium,73,327,88,likely_active,9,104,1376750,low-rise
ON,Ontario,Brampton,Brampton Parking Lot 1626,brampton-osm-parking-lot-57744798,parking_lot,43.6792299,-79.74256424,2576,surface parking,medium,73,369,88,likely_active,8,49,644000,low-rise
ON,Ontario,Brampton,Brampton Parking Lot 1627,brampton-osm-parking-lot-59150921,parking_lot,43.62422326,-79.7298302,1200,surface parking,medium,73,86,88,likely_active,16,23,300000,low-rise
ON,Ontario,Brampton,Brampton Parking Lot 1628,brampton-osm-parking-lot-71371559,parking_lot,43.667327075,-79.733756675,11728,surface parking,medium,73,52,88,likely_active,20,222,2932000,mid-rise
ON,Ontario,Brampton,Brampton Parking Lot 1629,brampton-osm-parking-lot-71371588,parking_lot,43.6745862352941,-79.7386170588235,1606,surface parking,medium,73,364,88,likely_active,8,30,401500,low-rise
ON,Ontario,Brampton,Brampton Parking Lot 1630,brampton-osm-parking-lot-71372714,parking_lot,43.6616085095238,-79.7238412285714,29482,surface parking,medium,73,272,88,likely_active,27,557,7370500,mixed-use
ON,Ontario,Brampton,Brampton Parking Lot 1631,brampton-osm-parking-lot-71372715,parking_lot,43.66307574,-79.72479652,3195,surface parking,medium,73,251,88,likely_active,12,60,798750,low-rise
ON,Ontario,Brampton,Brampton Parking Lot 1632,brampton-osm-parking-lot-74717014,parking_lot,43.6281503666667,-79.650352075,2960,surface parking,medium,73,73,88,likely_active,16,56,740000,low-rise
ON,Ontario,Brampton,Brampton Parking Lot 1633,brampton-osm-parking-lot-74717103,parking_lot,43.6216186833333,-79.6418635833333,1200,surface parking,medium,73,489,88,likely_active,8,23,300000,low-rise
ON,Ontario,Brampton,Brampton Parking Lot 1634,brampton-osm-parking-lot-74717126,parking_lot,43.6279663735294,-79.6487641764706,15993,surface parking,medium,73,201,88,likely_active,19,302,3998250,mid-rise
ON,Ontario,Brampton,Brampton Parking Lot 1635,brampton-osm-parking-lot-74717184,parking_lot,43.6231703166667,-79.64456935,2748,surface parking,medium,73,380,88,likely_active,8,52,687000,low-rise
